Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR19667538_1	(1.0, 5.486823663765509)	(2.0, 1.958714723236378)	(3.0, 1.2233315453428615)	(4.0, 0.8605425109153934)	(5.0, 0.6517513655056264)	(6.0, 0.6021490491928089)	(7.0, 0.5733104931969846)	(8.0, 0.5167869234451693)	(9.0, 0.46199366705310335)	('>10', 8.449120135656567)	('>50', 4.662040962284936)	('>100', 14.20414237018324)	('>500', 7.9819355285242155)	('>1k', 21.964021017539608)	('>5k', 11.670963611510045)	('>10k+', 18.732372432647555)
SRR19667538_2	(1.0, 6.635174963519226)	(2.0, 1.6414906072823123)	(3.0, 0.9897392417766857)	(4.0, 0.6736686680624527)	(5.0, 0.5767711199164836)	(6.0, 0.46372398041285273)	(7.0, 0.3916275904232923)	(8.0, 0.32299182715323077)	(9.0, 0.3581748654681363)	('>10', 6.116657726714307)	('>50', 4.728369641075332)	('>100', 18.687961056413982)	('>500', 9.249678450100648)	('>1k', 25.2666124501814)	('>5k', 12.761637799272116)	('>10k+', 11.135720012227548)
SRR19667539_1	(1.0, 5.98103427492265)	(2.0, 2.2649040328953536)	(3.0, 1.3420661389480453)	(4.0, 1.0072192978931436)	(5.0, 0.7801931396579205)	(6.0, 0.6790693936593403)	(7.0, 0.6000455391703834)	(8.0, 0.519682297317207)	(9.0, 0.554506368786917)	('>10', 9.082385716773148)	('>50', 4.96376957179786)	('>100', 14.841081689235343)	('>500', 11.651330681346352)	('>1k', 26.50580624422389)	('>5k', 8.558685257363283)	('>10k+', 10.668220356009162)
SRR19667539_2	(1.0, 7.1764374974886485)	(2.0, 1.9889902358661147)	(3.0, 1.094949170249528)	(4.0, 0.8572079131005479)	(5.0, 0.5324064772772934)	(6.0, 0.4942339373970346)	(7.0, 0.482849144801168)	(8.0, 0.2625199233870428)	(9.0, 0.40985253345119943)	('>10', 6.56165869731185)	('>50', 4.5900804971805895)	('>100', 19.71645169499471)	('>500', 14.674997656072112)	('>1k', 31.495693869624038)	('>5k', 0.0)	('>10k+', 9.661670751798129)
SRR19667540_1	(1.0, 5.419172747922814)	(2.0, 2.0103991366754457)	(3.0, 1.2429156824716439)	(4.0, 0.8723804061549607)	(5.0, 0.6659824467402706)	(6.0, 0.6588132305997239)	(7.0, 0.5625948034502796)	(8.0, 0.5131649447970357)	(9.0, 0.41770117197817536)	('>10', 8.243843907298261)	('>50', 4.160409324508909)	('>100', 14.255042977564129)	('>500', 7.5774841333927)	('>1k', 24.103659318849)	('>5k', 18.87616877089449)	('>10k+', 10.42026699670216)
SRR19667540_2	(1.0, 6.646618016617488)	(2.0, 1.8345646776494025)	(3.0, 1.0742504395861476)	(4.0, 0.7305053920051919)	(5.0, 0.5641041121114474)	(6.0, 0.5161835621193712)	(7.0, 0.4331715857551448)	(8.0, 0.3682713133249315)	(9.0, 0.353178226713254)	('>10', 6.07270339820845)	('>50', 3.909864086755062)	('>100', 17.949830580102784)	('>500', 11.476028405189004)	('>1k', 36.23359570148894)	('>5k', 6.559078114269759)	('>10k+', 5.278052388103629)
SRR19667541_1	(1.0, 4.614624411118466)	(2.0, 1.8834614240618675)	(3.0, 1.3140093837252813)	(4.0, 0.8884795102808402)	(5.0, 0.7148134288976521)	(6.0, 0.5929593275956363)	(7.0, 0.5574585264289073)	(8.0, 0.4720647074062347)	(9.0, 0.41881350565614117)	('>10', 6.930332076413076)	('>50', 3.9813668767930306)	('>100', 15.155004173742839)	('>500', 11.92922867313357)	('>1k', 31.73531754027422)	('>5k', 8.796522840447887)	('>10k+', 10.015543594024352)
SRR19667541_2	(1.0, 6.888114907458047)	(2.0, 1.9957207142377402)	(3.0, 1.1283497884344147)	(4.0, 0.7810176256680388)	(5.0, 0.6140679120731508)	(6.0, 0.4720647074062347)	(7.0, 0.4063402511921553)	(8.0, 0.35308904944206176)	(9.0, 0.3583661955614404)	('>10', 5.460886752444278)	('>50', 2.7719409343427075)	('>100', 17.60312023257822)	('>500', 12.917973959682605)	('>1k', 33.24266236819128)	('>5k', 15.006284601287623)	('>10k+', 0.0)
SRR19667542_1	(1.0, 5.162416665912853)	(2.0, 2.3591348632732996)	(3.0, 1.4029977656966595)	(4.0, 1.034835231435834)	(5.0, 0.8864847262299975)	(6.0, 0.6512949009036716)	(7.0, 0.6142072746022126)	(8.0, 0.5210359207229374)	(9.0, 0.5128947344616415)	('>10', 8.117667278763264)	('>50', 4.7417887090792314)	('>100', 17.542447240590146)	('>500', 13.075649711892465)	('>1k', 29.751512903780224)	('>5k', 13.625632072655563)	('>10k+', 0.0)
SRR19667542_2	(1.0, 7.661760848130693)	(2.0, 2.214402663072484)	(3.0, 1.2238916679481495)	(4.0, 1.009507096400691)	(5.0, 0.5834516820595392)	(6.0, 0.6241576133660187)	(7.0, 0.4749025319089273)	(8.0, 0.3980135505522438)	(9.0, 0.3826357542809071)	('>10', 7.95393897728609)	('>50', 5.260110901048404)	('>100', 19.576839229662866)	('>500', 14.210892907217614)	('>1k', 24.51039810400818)	('>5k', 13.915096473057195)	('>10k+', 0.0)
